_id,ltable_id,rtable_id,ltable_Brand,ltable_Type,ltable_Chipset,ltable_Screen_Dimension,rtable_Brand,rtable_Type,rtable_Chipset,rtable_Screen_Dimension
42,39,39,HTC,Desire 820G Plus (Milkyway Grey),MT6592 octa core processor,5.5-inch,HTC,Desire 820G+ dual sim,Mediatek MT6592 (28 nm),"5.5 inches, 83.4 cm (~67.2% screen-to-body ratio)"
43,61,39,LG,"K10 (16GB Dual SIM, Black-Gold)",Qualcomm MSM8916 quad core processor,5.3-inch,HTC,Desire 820G+ dual sim,Mediatek MT6592 (28 nm),"5.5 inches, 83.4 cm (~67.2% screen-to-body ratio)"
44,41,40,Huawei,"Nova 3i (Black, 4GB RAM, 128GB Storage)",Kirin 710 Octa core processor,6.3-inch,Huawei,nova 3i,Hisilicon Kirin 710 (12 nm),"6.3 inches, 97.4 cm (~82.2% screen-to-body ratio)"
45,40,41,HUAWEI,"MediaPad T5 Tablet (10.1 inch, 32GB, Wi-Fi + 4G LTE) Black",Kirin 659 octa-core processor,10.1-inch,Huawei,MediaPad T5,HiSilicon Kirin 659 (16 nm),"10.1 inches, 295.8 cm (~74.2% screen-to-body ratio)"
46,42,42,Huawei,"P30 Lite (Midnight Black, 4GB RAM, 128GB Storage)",Kirin 710 octa core processor,6.15-inch,Huawei,P30 lite,Hisilicon Kirin 710 (12 nm),"6.15 inches, 93.6 cm (~84.2% screen-to-body ratio)"
47,44,43,Huawei,"Y9 2019 (Black, 4GB RAM, 64GB Storage)",Kirin 710 octa core processor,6.5-inch,Huawei,Y9 (2019),Hisilicon Kirin 710 (12 nm),"6.5 inches, 103.7 cm (~82.8% screen-to-body ratio)"
48,43,44,Huawei,"P30 Pro (Breathing Crystal, 8GB RAM, 256GB Storage)",Kirin 980 octa core processor,6.47-inch,Huawei,P30 Pro,HiSilicon Kirin 980 (7 nm),"6.47 inches, 102.8 cm (~88.6% screen-to-body ratio)"
49,55,56,Lenovo,K6 Note (Silver),Qualcomm MSM8937 Snapdragon 430 octa core processor,5.5-inch,Lenovo,K6 Note,Qualcomm MSM8937 Snapdragon 430 (28 nm),"5.5 inches, 83.4 cm (~72.7% screen-to-body ratio)"
50,57,57,Lenovo,"K8 Note (Venom Black, 4GB RAM, 64GB Storage) System Update",Mediatek MTK6797D quad core processor,5.5-inch,Lenovo,K8 Note,Mediatek MT6797D Helio X23 (20 nm),"5.5 inches, 83.4 cm (~71.1% screen-to-body ratio)"
51,58,58,Lenovo,"Yoga Tab 3 10 Tablet (10.1 inch, 16GB, Wi-Fi + 4G LTE), Slate Black",Qualcomm MSM8909 quad core processor,10.1-inch,Lenovo,Yoga Tab 3 8.0,Qualcomm MSM8909 Snapdragon 210 (28 nm),"8.0 inches, 185.6 cm (~60.7% screen-to-body ratio)"
52,59,58,Lenovo,"Yoga Tab 3 8 Tablet (8 inch, 16GB, Wi-Fi + 4G LTE), Slate Black",Qualcomm APQ8009/MSM8909 quad core processor,8-inch,Lenovo,Yoga Tab 3 8.0,Qualcomm MSM8909 Snapdragon 210 (28 nm),"8.0 inches, 185.6 cm (~60.7% screen-to-body ratio)"
53,58,59,Lenovo,"Yoga Tab 3 10 Tablet (10.1 inch, 16GB, Wi-Fi + 4G LTE), Slate Black",Qualcomm MSM8909 quad core processor,10.1-inch,Lenovo,Yoga Tab 3 10,Qualcomm MSM8909 Snapdragon 210 (28 nm) - 3G/LTE modelQualcomm APQ8009 (28 nm) - Wi-Fi model,"10.1 inches, 295.8 cm (~63.2% screen-to-body ratio)"
54,59,59,Lenovo,"Yoga Tab 3 8 Tablet (8 inch, 16GB, Wi-Fi + 4G LTE), Slate Black",Qualcomm APQ8009/MSM8909 quad core processor,8-inch,Lenovo,Yoga Tab 3 10,Qualcomm MSM8909 Snapdragon 210 (28 nm) - 3G/LTE modelQualcomm APQ8009 (28 nm) - Wi-Fi model,"10.1 inches, 295.8 cm (~63.2% screen-to-body ratio)"
55,63,63,LG,"Q Stylus (Black, 4GB RAM, 64GB Storage)",MT6750 octa core processor,6.2-inch,LG,Q Stylus,Mediatek MT6750 - Q Stylus/Q Stylus Î±,"6.2 inches, 99.7 cm (~80.2% screen-to-body ratio)"
56,68,67,Xiaomi,"Mi A2 (Black, 6GB RAM, 128GB Storage)",Qualcomm Snapdragon 660 octa core processor,5.99-inch,Xiaomi,Mi A2 (Mi 6X),Qualcomm SDM660 Snapdragon 660 (14 nm),"5.99 inches, 92.6 cm (~77.4% screen-to-body ratio)"
57,69,69,Xiaomi,"Mi Mix 2 (Black, 6GB RAM, 128GB Storage)",Qualcomm MSM8998 quad core processor,5.99-inch,Xiaomi,Mi Mix 2,Qualcomm MSM8998 Snapdragon 835 (10 nm),"5.99 inches, 92.6 cm (~80.8% screen-to-body ratio)"
58,71,70,Xiaomi,"Mi Redmi 5 (Blue, 4GB RAM, 64GB Storage)",Qualcomm Snapdragon 450 octa-core processor,5.7-inch,Xiaomi,Redmi 5,Qualcomm SDM450 Snapdragon 450 (14 nm),"5.7 inches, 83.8 cm (~75.9% screen-to-body ratio)"
59,74,70,Xiaomi,"MI Redmi Note 5 (3 GB RAM, 32 GB, Gold)",Snapdragon 625 processor,15.2 cm (5.99),Xiaomi,Redmi 5,Qualcomm SDM450 Snapdragon 450 (14 nm),"5.7 inches, 83.8 cm (~75.9% screen-to-body ratio)"
60,124,70,Xiaomi,"Redmi Note 5 Pro (Blue, 6GB RAM, 64GB Storage)",Qualcomm snapdragon 636,"15.91 cm (5.99"")",Xiaomi,Redmi 5,Qualcomm SDM450 Snapdragon 450 (14 nm),"5.7 inches, 83.8 cm (~75.9% screen-to-body ratio)"
61,70,71,Xiaomi,"Mi Redmi 4 (Gold, 64GB)",Qualcomm MSM8940 quad core processor,5-inch,Xiaomi,Redmi 4 (4X),Qualcomm MSM8940 Snapdragon 435 (28 nm),"5.0 inches, 68.9 cm (~70.7% screen-to-body ratio)"
62,123,71,Xiaomi,"Redmi Note 4 (Grey, 4GB RAM, 64GB Storage)",Qualcomm Snapdragon 625,13.9 centimeters (5.5-inch),Xiaomi,Redmi 4 (4X),Qualcomm MSM8940 Snapdragon 435 (28 nm),"5.0 inches, 68.9 cm (~70.7% screen-to-body ratio)"
63,72,72,Xiaomi,"Mi Redmi 6 (Black, 3Gb+64Gb)",Mediatek MTK6762 quad core processor,5.45 Inch,Xiaomi,Redmi 6,Mediatek MT6762 Helio P22 (12 nm),"5.45 inches, 76.7 cm (~72.7% screen-to-body ratio)"
64,120,72,Xiaomi,"Redmi 6 Pro (Black, 4GB RAM, 64GB Storage)",Qualcomm Snapdragon 625,"14.83 cm (5.84"")",Xiaomi,Redmi 6,Mediatek MT6762 Helio P22 (12 nm),"5.45 inches, 76.7 cm (~72.7% screen-to-body ratio)"
65,122,72,Xiaomi,"Redmi Mi Note 6 Pro (Black, 4GB RAM, 64GB Storage)",Qualcomm Snapdragon 636,15.9004 centimeters (6.26-inch),Xiaomi,Redmi 6,Mediatek MT6762 Helio P22 (12 nm),"5.45 inches, 76.7 cm (~72.7% screen-to-body ratio)"
66,71,73,Xiaomi,"Mi Redmi 5 (Blue, 4GB RAM, 64GB Storage)",Qualcomm Snapdragon 450 octa-core processor,5.7-inch,Xiaomi,Redmi Note 5 AI Dual Camera,Snapdragon 636 (14 nm),"5.99 inches, 92.6 cm (~77.4% screen-to-body ratio)"
67,74,73,Xiaomi,"MI Redmi Note 5 (3 GB RAM, 32 GB, Gold)",Snapdragon 625 processor,15.2 cm (5.99),Xiaomi,Redmi Note 5 AI Dual Camera,Snapdragon 636 (14 nm),"5.99 inches, 92.6 cm (~77.4% screen-to-body ratio)"
68,122,73,Xiaomi,"Redmi Mi Note 6 Pro (Black, 4GB RAM, 64GB Storage)",Qualcomm Snapdragon 636,15.9004 centimeters (6.26-inch),Xiaomi,Redmi Note 5 AI Dual Camera,Snapdragon 636 (14 nm),"5.99 inches, 92.6 cm (~77.4% screen-to-body ratio)"
69,123,73,Xiaomi,"Redmi Note 4 (Grey, 4GB RAM, 64GB Storage)",Qualcomm Snapdragon 625,13.9 centimeters (5.5-inch),Xiaomi,Redmi Note 5 AI Dual Camera,Snapdragon 636 (14 nm),"5.99 inches, 92.6 cm (~77.4% screen-to-body ratio)"
70,124,73,Xiaomi,"Redmi Note 5 Pro (Blue, 6GB RAM, 64GB Storage)",Qualcomm snapdragon 636,"15.91 cm (5.99"")",Xiaomi,Redmi Note 5 AI Dual Camera,Snapdragon 636 (14 nm),"5.99 inches, 92.6 cm (~77.4% screen-to-body ratio)"
71,125,73,Xiaomi,"Redmi Note 7 (Onyx Black, 4GB RAM, 64GB Storage)",Qualcomm Snapdragon 660,16.002 centimeters (6.3-inch) ,Xiaomi,Redmi Note 5 AI Dual Camera,Snapdragon 636 (14 nm),"5.99 inches, 92.6 cm (~77.4% screen-to-body ratio)"
72,126,73,Xiaomi,"Redmi Note 7 Pro (Nebula Red, 128GB, 6GB RAM)",Qualcomm Snapdragon 675,16.0 cm (6.3 inch),Xiaomi,Redmi Note 5 AI Dual Camera,Snapdragon 636 (14 nm),"5.99 inches, 92.6 cm (~77.4% screen-to-body ratio)"
73,127,73,Xiaomi,"Redmi Note 7S (Onyx Black, 64GB, 4GB RAM)",Qualcomm Snapdragon 660,16-cm (6.3),Xiaomi,Redmi Note 5 AI Dual Camera,Snapdragon 636 (14 nm),"5.99 inches, 92.6 cm (~77.4% screen-to-body ratio)"
74,73,74,Xiaomi,"Mi Redmi 6A (Black, 2GB RAM, 32GB Storage)",Mediatek MTK6761 quad core processor,5.45-inch,Xiaomi,Redmi 6A,Mediatek MT6761 Helio A22 (12 nm),"5.45 inches, 76.7 cm (~72.7% screen-to-body ratio)"
75,75,75,Moto,"Moto C Plus (Starry Black, 2GB RAM, 16GB Storage)",Mediatek MT6737 1.3 Ghz 64-bit quad core processor,68.9 cm,Moto,Moto C Plus,Mediatek MT6737 (28 nm),"5.0 inches, 68.9 cm (~66.2% screen-to-body ratio)"
76,76,75,Moto,"Moto E5 Plus (Black, 3GB RAM, 32GB Storage)",1.4GHz Snapdragon 430 octa core Processor,15.21 cm (6-inches),Moto,Moto C Plus,Mediatek MT6737 (28 nm),"5.0 inches, 68.9 cm (~66.2% screen-to-body ratio)"
77,78,75,Moto,"Moto G6 Plus (Indigo Black, 6+64 GB)",2.2GHz Qualcomm Snapdragon 630 octa-core processor,14.99 cm (5.9-inch) ,Moto,Moto C Plus,Mediatek MT6737 (28 nm),"5.0 inches, 68.9 cm (~66.2% screen-to-body ratio)"
78,75,77,Moto,"Moto C Plus (Starry Black, 2GB RAM, 16GB Storage)",Mediatek MT6737 1.3 Ghz 64-bit quad core processor,68.9 cm,Moto,Moto E5 Plus,Qualcomm MSM8917 Snapdragon 425 (28 nm),"6.0 inches, 92.9 cm (~76.7% screen-to-body ratio)"
79,76,77,Moto,"Moto E5 Plus (Black, 3GB RAM, 32GB Storage)",1.4GHz Snapdragon 430 octa core Processor,15.21 cm (6-inches),Moto,Moto E5 Plus,Qualcomm MSM8917 Snapdragon 425 (28 nm),"6.0 inches, 92.9 cm (~76.7% screen-to-body ratio)"
80,78,77,Moto,"Moto G6 Plus (Indigo Black, 6+64 GB)",2.2GHz Qualcomm Snapdragon 630 octa-core processor,14.99 cm (5.9-inch) ,Moto,Moto E5 Plus,Qualcomm MSM8917 Snapdragon 425 (28 nm),"6.0 inches, 92.9 cm (~76.7% screen-to-body ratio)"
81,75,78,Moto,"Moto C Plus (Starry Black, 2GB RAM, 16GB Storage)",Mediatek MT6737 1.3 Ghz 64-bit quad core processor,68.9 cm,Moto,Moto G6 Plus,Qualcomm SDM630 Snapdragon 630 (14 nm),"5.9 inches, 89.8 cm (~74.4% screen-to-body ratio)"
82,76,78,Moto,"Moto E5 Plus (Black, 3GB RAM, 32GB Storage)",1.4GHz Snapdragon 430 octa core Processor,15.21 cm (6-inches),Moto,Moto G6 Plus,Qualcomm SDM630 Snapdragon 630 (14 nm),"5.9 inches, 89.8 cm (~74.4% screen-to-body ratio)"
83,77,78,Moto,"Moto G6 (Indigo Black, 4GB RAM, 64GB Storage)",Snapdragon 450 1.8GHz octa core processor,15.21 cm (6-inches),Moto,Moto G6 Plus,Qualcomm SDM630 Snapdragon 630 (14 nm),"5.9 inches, 89.8 cm (~74.4% screen-to-body ratio)"
84,78,78,Moto,"Moto G6 Plus (Indigo Black, 6+64 GB)",2.2GHz Qualcomm Snapdragon 630 octa-core processor,14.99 cm (5.9-inch) ,Moto,Moto G6 Plus,Qualcomm SDM630 Snapdragon 630 (14 nm),"5.9 inches, 89.8 cm (~74.4% screen-to-body ratio)"
85,80,79,Motorola,"Motorola G5s Plus (Blush Gold, 64GB)",2.0GHz Snapdragon 625 octa core processor,13.97 centimeters (5.5-inch),Motorola,Motorola G5s Plus,Qualcomm MSM8953 Snapdragon 625 (14 nm),"5.5 inches, 83.4 cm (~71.3% screen-to-body ratio)"
86,79,80,Motorola,"Moto Z2 Play (Lunar Grey, 64GB, 4GB RAM)",2.2GHz Qualcomm Snapdragon 626 octa core processor,13.97 centimeters (5.5-inch) ,Motorola,Moto Z2 Play,Qualcomm MSM8953-Pro Snapdragon 626 (14 nm),"5.5 inches, 83.4 cm (~70.1% screen-to-body ratio)"
87,77,81,Moto,"Moto G6 (Indigo Black, 4GB RAM, 64GB Storage)",Snapdragon 450 1.8GHz octa core processor,15.21 cm (6-inches),Motorola,Moto G6 Play,Qualcomm MSM8937 Snapdragon 430 (28 nm) Qualcomm MSM8920 Snapdragon 427 (28 nm) - USA,"5.7 inches, 83.8 cm (~75.2% screen-to-body ratio)"
88,78,81,Moto,"Moto G6 Plus (Indigo Black, 6+64 GB)",2.2GHz Qualcomm Snapdragon 630 octa-core processor,14.99 cm (5.9-inch) ,Motorola,Moto G6 Play,Qualcomm MSM8937 Snapdragon 430 (28 nm) Qualcomm MSM8920 Snapdragon 427 (28 nm) - USA,"5.7 inches, 83.8 cm (~75.2% screen-to-body ratio)"
89,79,81,Motorola,"Moto Z2 Play (Lunar Grey, 64GB, 4GB RAM)",2.2GHz Qualcomm Snapdragon 626 octa core processor,13.97 centimeters (5.5-inch) ,Motorola,Moto G6 Play,Qualcomm MSM8937 Snapdragon 430 (28 nm) Qualcomm MSM8920 Snapdragon 427 (28 nm) - USA,"5.7 inches, 83.8 cm (~75.2% screen-to-body ratio)"
90,81,81,Motorola,"Motorola G6 Play PA9V0000GB (Indigo Black, 32GB)",1.4GHz Qualcomm octa core processor,14.478 centimeters (5.7-inch),Motorola,Moto G6 Play,Qualcomm MSM8937 Snapdragon 430 (28 nm) Qualcomm MSM8920 Snapdragon 427 (28 nm) - USA,"5.7 inches, 83.8 cm (~75.2% screen-to-body ratio)"
91,83,82,Motorola,"Motorola Moto E4 (Iron Grey, 2GB RAM, 16GB Storage)",MT6737 Quad-core 1.3 GHz ARM Mali T720 MP1 650MHz,5-inch,Motorola,Moto E4,Mediatek MT6737 (28 nm),"5.0 inches, 68.9 cm (~65.9% screen-to-body ratio)"
92,82,83,Motorola,"Motorola G7 Power (Black, 4GB RAM, 64GB Storage)",snapdragon 632,6. 2 inches (15. 75 cm),Motorola,Moto G7 Power,Qualcomm SDM632 Snapdragon 632 (14 nm),"6.2 inches, 94.0 cm (~77.6% screen-to-body ratio)"
93,84,84,Motorola,"Motorola Moto G5 (Fine Gold, 3 GB)",Qualcomm Snapdragon 430 octa-core processor (1.4GHz),12.7 centimeters (5-inch) ,Motorola,Moto G5,Qualcomm MSM8937 Snapdragon 430 (28 nm) ,"5.0 inches, 68.9 cm (~65.4% screen-to-body ratio)"
94,85,86,Motorola,"Motorola Moto X4 (Super Black, 32GB)",Qualcomm Snapdragon 630,7.34 cm,Motorola,Moto X4,Qualcomm SDM630 Snapdragon 630 (14 nm),"5.2 inches, 74.5 cm (~68.4% screen-to-body ratio)"
95,89,88,Nokia,"Nokia 3.1 Plus (Baltic, 3GB RAM, 32GB Storage)",Mediatek MT6762,15.24 centimeters (6-inch),Nokia,3.1 Plus,Mediatek MT6762 Helio P22 (12 nm),"6.0 inches, 92.9 cm (~77.5% screen-to-body ratio)"
